filename,Di_A,Df_A,Dif_A,density_gcc,unit_cell_volume_A3,SA_A2,SA_m2_cm3,SA_m2_g,AV_A3,AV_fraction,AV_cm3_g,num_channels,num_pockets
DB0-m29_o83_o53_f0_pts.sym.20_repeat,10.06437,8.33347,10.06437,0.555591,3348.6,764.322,2282.51,4108.26,1123.79,0.3356,0.604042,1,0
DB0-m29_o83_o54_f0_pts.sym.31_repeat,9.98160,7.50671,9.97233,0.566413,3994.51,876.49,2194.24,3873.91,1291.82,0.3234,0.570961,1,0
DB0-m29_o83_o86_f0_pts.sym.2_repeat,11.10505,9.19860,11.10505,0.679829,2488.5,454.419,1826.08,2686.08,690.806,0.2776,0.408338,1,0
DB0-m29_o83_o87_f0_pts.sym.31_repeat,7.61947,4.52348,7.43118,0.947167,1480.04,223.256,1508.45,1592.59,112.779,0.0762,0.0804505,1,0
DB0-m29_o83_o87_f0_pts.sym.50_repeat,6.42754,4.79474,6.34192,1.03079,1482.56,155.22,1046.97,1015.7,82.4303,0.0556,0.0539391,1,0
DB0-m29_o84_o102_f0_pts.sym.51_repeat,8.67257,7.36890,8.67257,0.829651,1942.01,304.597,1568.46,1890.51,341.406,0.1758,0.211896,1,0
DB0-m29_o84_o108_f0_pts.sym.30_repeat,9.93345,8.54689,9.90877,0.845112,2035.94,334.963,1645.25,1946.78,449.534,0.2208,0.261267,1,0
DB0-m29_o84_o111_f0_pts.sym.17_repeat,8.09007,4.67875,8.09007,0.800711,2139.06,391.251,1829.08,2284.32,290.484,0.1358,0.169599,1,0
DB0-m29_o84_o143_f0_pts.sym.31_repeat,8.89635,6.15253,8.89311,0.748899,2169.39,386.373,1781.02,2378.19,327.144,0.1508,0.201362,1,0
DB0-m29_o84_o148_f0_pts.sym.47_repeat,6.42868,4.75646,6.40815,0.908728,1723.71,274.994,1595.36,1755.59,136.518,0.0792,0.0871548,1,1
DB0-m29_o84_o149_f0_pts.sym.26_repeat,9.06152,6.65026,9.06152,0.804436,1759.12,334.386,1900.88,2362.99,330.714,0.188,0.233704,1,0
DB0-m29_o84_o1500_f0_pts.sym.124_repeat,9.20198,5.94800,9.01412,0.739252,2379.71,414.37,1741.26,2355.43,407.407,0.1712,0.231585,1,0
DB0-m29_o84_o150_f0_pts.sym.13_repeat,7.96857,5.46799,7.85534,0.772193,2232.98,425.093,1903.7,2465.31,284.929,0.1276,0.165244,1,0
DB0-m29_o84_o420_f0_pts.sym.55_repeat,8.65189,6.75129,8.65189,0.778761,1913.24,358.467,1873.62,2405.89,347.444,0.1816,0.233191,1,0
DB0-m29_o84_o45_f0_pts.sym.126_repeat,7.97304,5.52400,7.97304,0.841679,1995.25,339.577,1701.93,2022.06,259.383,0.13,0.154453,1,0
DB0-m29_o84_o45_f0_pts.sym.91_repeat,6.76626,4.74027,6.76626,0.852011,1992.63,322.359,1617.76,1898.75,190.496,0.0956,0.112205,1,0
DB0-m29_o84_o45_f0_pts.sym.92_repeat,6.84997,4.85227,6.83202,0.926334,1996.09,266.047,1332.84,1438.84,134.935,0.0676,0.0729758,1,0
DB0-m29_o84_o46_f0_pts.sym.12_repeat,6.78307,4.92355,6.75370,0.93083,1502.49,227.048,1511.14,1623.44,125.007,0.0832,0.0893825,1,0
DB0-m29_o84_o470_f0_pts.sym.67_repeat,7.89104,7.28682,7.88029,0.782622,1859.2,343.01,1844.93,2357.37,323.501,0.174,0.22233,1,0
DB0-m29_o84_o52_f0_pts.sym.96_repeat,9.34886,7.55767,9.06144,0.730502,2233.01,445.67,1995.83,2732.13,462.679,0.2072,0.28364,1,0
DB0-m29_o84_o53_f0_pts.sym.20_repeat,9.25201,7.21936,8.44179,0.769048,2615.57,494.135,1889.21,2456.55,555.024,0.2122,0.275925,1,0
DB0-m29_o84_o54_f0_pts.sym.51_repeat,8.61287,6.72516,8.61287,0.640507,3184.97,761.445,2390.75,3732.58,795.605,0.2498,0.390003,1,0
DB0-m29_o85_o110_f0_pts.sym.55_repeat,8.99638,6.71205,8.98620,0.73758,2071.92,373.183,1801.15,2441.97,406.51,0.1962,0.266005,1,0
DB0-m29_o85_o111_f0_pts.sym.23_repeat,8.48092,5.33359,8.48092,0.702128,2325.77,485.996,2089.61,2976.11,353.517,0.152,0.216485,1,0
DB0-m29_o85_o1470_f0_pts.sym.71_repeat,6.68009,5.43628,6.67073,0.841947,2067.6,363.462,1757.89,2087.89,214.204,0.1036,0.123048,1,0
DB0-m29_o85_o54_f0_pts.sym.53_repeat,9.93639,8.47014,9.92576,0.604894,3273.69,627.658,1917.28,3169.62,970.322,0.2964,0.490003,1,0
DB0-m29_o86_o47_f0_pts.sym.35_repeat,7.33346,5.99407,7.33346,0.860656,1933.8,394.367,2039.33,2369.51,276.147,0.1428,0.16592,1,0
DB0-m29_o86_o47_f0_pts.sym.8_repeat,7.18101,5.54655,7.12981,0.827947,1934.05,422.042,2182.17,2635.64,239.822,0.124,0.149768,1,0
DB0-m29_o88_o109_f0_pts.sym.30_repeat,11.09956,7.46611,11.01118,0.57144,2790.6,602.388,2158.63,3777.53,869.551,0.3116,0.545289,1,0
DB0-m29_o88_o109_f0_pts.sym.73_repeat,8.95123,7.04631,8.95123,0.724866,2744.98,487.174,1774.78,2448.42,583.583,0.2126,0.293296,1,0
DB0-m29_o88_o109_f0_pts.sym.88_repeat,11.34743,8.25606,11.32530,0.551407,2759.32,561.206,2033.86,3688.49,965.762,0.35,0.63474,1,0
DB0-m29_o88_o111_f0_pts.sym.31_repeat,8.83113,6.83057,8.82792,0.654491,2746.33,559.4,2036.9,3112.19,510.269,0.1858,0.283885,1,0
DB0-m29_o88_o143_f0_pts.sym.27_repeat,10.93536,8.40977,10.93536,0.590011,2733.83,546.061,1997.42,3385.4,765.471,0.28,0.474568,1,0
DB0-m29_o88_o1470_f0_pts.sym.11_repeat,8.62713,6.24746,8.62713,0.692131,2380.85,517.835,2175,3142.47,477.599,0.2006,0.28983,1,0
DB0-m29_o88_o1470_f0_pts.sym.125_repeat,7.69765,5.49837,7.47101,0.77972,2279.68,386.141,1693.84,2172.37,273.562,0.12,0.153901,1,0
DB0-m29_o88_o1470_f0_pts.sym.134_repeat,8.27438,5.32682,8.27438,0.81369,2333.42,389.565,1669.51,2051.77,329.478,0.1412,0.17353,1,2
